path,size_bytes,lines
main.py,12869,342
analysis/edge_discovery.py,32817,807
backtest/archive_reader.py,22903,553
backtest/engine_v2.py,25846,641
backtest/metrics.py,7376,232
backtest/replay_engine.py,35734,826
backtest/replay_engine_v3.py,4893,127
backtest/slippage_model.py,8842,234
backtest/walk_forward.py,8681,246
backtest/__init__.py,183,7
backtest/analytics/charts.py,7516,238
backtest/analytics/comparator.py,5360,157
backtest/analytics/reporter.py,11874,353
backtest/analytics/__init__.py,332,9
backtest/data_sources/binance_hist.py,13554,383
backtest/data_sources/cache.py,15400,384
backtest/data_sources/collector.py,12019,319
backtest/data_sources/gamma_hist.py,18340,492
backtest/data_sources/polybacktest.py,12102,333
backtest/data_sources/__init__.py,436,12
backtest/simulation/fee_model_v3.py,5125,122
backtest/simulation/fill_model.py,22735,531
backtest/simulation/portfolio.py,7798,234
backtest/simulation/__init__.py,866,20
backtest/strategies/base.py,8579,256
backtest/strategies/bonding_yield.py,4786,132
backtest/strategies/calibration_arb.py,3620,98
backtest/strategies/composite.py,6096,145
backtest/strategies/cross_coin.py,3962,102
backtest/strategies/fade_rip.py,3374,90
backtest/strategies/funding_rate.py,2716,77
backtest/strategies/hour_edge.py,3453,103
backtest/strategies/late_convergence.py,5395,139
backtest/strategies/live_adapter.py,9482,254
backtest/strategies/opening_breakout.py,2556,74
backtest/strategies/orderbook_imbalance.py,4074,99
backtest/strategies/streak_reversal.py,4399,126
backtest/strategies/taker_flow.py,3134,87
backtest/strategies/__init__.py,1458,26
calibration/coherence.py,8150,224
calibration/ev_threshold.py,8047,236
calibration/surface_2d.py,23859,609
calibration/__init__.py,34,1
config/env_whitelist.py,13210,307
config/settings.py,10741,139
config/validator.py,5057,150
core/ai_brain.py,100820,1908
core/allowance_preflight.py,10709,288
core/autopilot.py,14137,270
core/auto_optimizer.py,42593,814
core/bg_task.py,12775,309
core/changelog.py,9223,203
core/circuit_breaker.py,4214,126
core/decision_explainer.py,11454,295
core/engine.py,65740,1196
core/engine_fills.py,26064,519
core/engine_monitor.py,17244,339
core/engine_settlement.py,32364,640
core/engine_signals.py,93902,1771
core/engine_support.py,6858,175
core/ev_tracker.py,8144,231
core/experiment_runner.py,11190,286
core/fees_v2.py,7112,166
core/indicators.py,2564,75
core/intent_parser.py,18400,508
core/keepalive.py,19231,381
core/kelly.py,12766,300
core/kill_switch.py,2594,76
core/live_trader.py,37624,760
core/micro_weight_tracker.py,8734,203
core/portfolio_kill_switch.py,11693,319
core/regime.py,7747,199
core/risk_manager.py,36301,733
core/signal_fusion.py,29577,650
core/stats_utils.py,2419,63
core/strategy_lifecycle.py,18093,414
core/strategy_plugins.py,55631,1368
core/strategy_selector.py,6701,171
core/strategy_suggester.py,25715,549
core/trade_journal.py,10578,269
core/trade_memory.py,16569,415
